lab_code	active	lab	country
KI	FALSE	Kiel	Germany
KIA	TRUE	Kiel AMS	Germany
KIK	FALSE	Royal Institute for Cultural Heritage	Belgium
KN	FALSE	Köln	Germany
KR	TRUE	Kraków	Poland
KRIL	FALSE	Krasnoyarsk Institute	Russia
KSU	FALSE	Kyoto Sangyo University	Japan
Ki(KIEV)	TRUE	(KIEV) Institute of Radio-Geochemistry of the Environment	Ukraine
L	FALSE	Lamont-Doherty	USA
LACUFF	TRUE	Fluminense Federal Univ.	Brazil
LAEC	TRUE	Lebanese Atomic Energy Commission (LAEC)	Lebanon
LAR	FALSE	Liège State University	Belgium
LE	TRUE	St. Petersburg	Russia
LEMA	TRUE	Lab. de Espectrometría de Masas con Aceleradores	Mexico
LIH	TRUE	NCSR Demokritos	Greece
LJ	FALSE	Scripps (UCSD) La Jolla	USA
LTL	TRUE	University of Lecce	Italy
LU	TRUE	St. Petersburg State University	Russia
LZ	TRUE	Umweltforschungszentrum  Leipzig-Halle	Germany
LZU	TRUE	Lanzhou University	China
Lu	FALSE	Lund	Sweden
LuA	FALSE	Lund	Sweden
LuS	TRUE	Lund	Sweden
Lv	FALSE	Louvain-la-Neuve	Belgium
Ly	TRUE	University of Lyon	France
M	FALSE	University of Michigan	USA
MAG	TRUE	Quaternary Geology	Russia
MAMS	TRUE	Curt-Engelhorn-Zentrum Archaeom.	Germany
MC	FALSE	Centre Scientifique	Monaco
METU	FALSE	Middle East Technical Univ.	Turkey
MKL	TRUE	Lab. of Absolute Dating	Poland
MTC	TRUE	University of Tokyo	Japan
Ma	FALSE	University of Winnepeg	Canada
N	FALSE	Nishina Memorial	Japan
NB	NA	Nanjing Museum	China
NIST	TRUE	National Institute of Standards and Technology	USA
NPL	FALSE	National Physical Lab., Middlesex	England
NS	FALSE	Nova Scotia Research Foundation	Canada
NSRL	TRUE	INSTAAR – Univ. of Colorado	USA
NSTF	FALSE	Nuclear Science & Technology Facility, State Univ. of New York	USA
NSW	FALSE	U. of New South Wales	Australia
NTU	TRUE	National Taiwan University	Taiwan
NU	FALSE	Nihon University	Japan
NUTA	TRUE	Tandetron AMS Lab	Japan
NZ	FALSE	Rafter Radiocarbon Lab New	Zealand
NZA	TRUE	Rafter (AMS) New	Zealand
Ny	FALSE	Nancy, Centre de Recherches  Radiogéologiques	France
O	FALSE	Humble Oil & Refining	USA
OBDY	FALSE	ORSTOM Bondy	France
OR	TRUE	Research Center of Radioisotopes	Japan
ORINS	FALSE	Oak Ridge Institute of Nuclear Studies	USA
OS	TRUE	National Ocean Sciences, AMS Facility Woods Hole Oceanographic Inst.	USA
OWU	FALSE	Ohio Wesleyan Univ.	USA
OX	FALSE	USDA (Oxford, Miss.)	USA
OZ	TRUE	ANSTO-ANTARES	Australia
OxA	TRUE	Oxford Radiocarbon Accelerator Unit	England
P	FALSE	Univ. of Pennsylvania	USA
P	TRUE	Max-Planck-Institut Geochron. Lab	Germany
PAL	TRUE	Palynosurvery Co.	Japan
PI	FALSE	Permafrost Institute	Russia
PIC	FALSE	Packard	USA
PITT	FALSE	University of Pittsburgh	USA
PKU	TRUE	Peking University	China
PKUAMS	TRUE	Peking Univ. AMS lab	China
PL	TRUE	Purdue Rare Isotope Measurement Lab	USA
PLD	TRUE	Paleo Labo. Co., Ltd.	Japan
PRI	TRUE	PaleoResearch Inst.	USA
PRL	TRUE	Radiocarbon Dating Research Unit	India
PRLCH	FALSE	Physical Research Lab.	India
PSU	FALSE	Penn State Univ.	USA
PSUAMS	TRUE	Penn State Univ.	USA
Pi	FALSE	Pisa	Italy
Poz	TRUE	Poznan	Poland
Pr	FALSE	Prague Czech	Republic
Pta	TRUE	Pretoria South	Africa
PV	NA	Institute of Vertebrate Paleontology and Paleoanthropology	China
Q	FALSE	Cambridge  	England
QC	FALSE	Queens College	USA
QL	FALSE	Quaternary Isotope Lab.	USA
QU	FALSE	Centre de Recherches Canada Minérales,	Québec
R	TRUE	Rome	Italy
RCD	FALSE	Radiocarbon Dating	England
RCMib	TRUE	Milano Bicocca University	Italy
RI	FALSE	Radiochemistry Inc.	USA
RICH	TRUE	Royal Institute for Cultural Heritage	Belgium
RIDDL	FALSE	Simon Fraser Univ.	Canada
RL	FALSE	Radiocarbon, Ltd.	USA
RT	TRUE	Rehovot	Israel
RTK	TRUE	Rehovot	Israel
RU	FALSE	Rice University	USA
Riga	FALSE	Institute of Science	Latvia
RoAMS	TRUE	National Institute for Physics and Nuclear Engineering	Romania
Rome	TRUE	Dept. of Earth Sciences, Rome	Italy
S	FALSE	Saskatchewan	Canada
SANU	TRUE	ANU Canberra	Australia
SFU	FALSE	Simon Fraser Univ.	Canada
SH	NA	State Key Laboratory of Estuarine and Coastal Research	China
SI	FALSE	Smithsonian Institution	USA
SL	FALSE	Sharp Laboratories	USA
SM	FALSE	Mobil Oil Corp., Dallas	USA
SMU	FALSE	Southern Methodist Univ.	USA
SNU	FALSE	Seoul National University South	Korea
SPb	TRUE	Herzen State University	Russia
SUERC	TRUE	Scottish Universities Environmental Research Centre	United Kingdom
Sa	FALSE	Saclay, Gif-sur-Yvette	France
Sac	TRUE	Instituto Tecnológico Portugal e	Nuclear
SacA	TRUE	Gif sur Yvette (Saclay)	France
Sh	FALSE	Shell Development Co.	USA
T	TRUE	Trondheim	Norway
TB	TRUE	Tblisi	Georgia
TBNC	FALSE	Kaman Instruments	USA
TEM	FALSE	Temple University	USA
TF	FALSE	Tata Institute of Fundamental Research	India
TK	TRUE	University of Tokyo	Japan
TKA	TRUE	University Museum, Univ. of Tokyo	Japan
TKU	TRUE	Turku	Finland
TKa	TRUE	Univ. of Tokyo-AMS	Japan
TO	TRUE	IsoTrace Laboratory	Canada
TRa	TRUE	Trondheim (AMS)	Norway
TUBITAK	TRUE	TÜBİTAK National AMS Laboratory	Turkey
TUNC	FALSE	Tehran Univ. Nuclear Centre	Iran
TUa	TRUE	Trondheim (AMS)	Norway
Tln	TRUE	Tallinn	Estonia
Tx	FALSE	Texas  	USA
U	FALSE	Uppsala University	Sweden
UB	FALSE	Belfast Northern	Ireland
UBA	TRUE	Belfast Northern	Ireland
UBAR	TRUE	University of Barcelona	Spain
UCD	TRUE	University College, Dublin	Ireland
UCI	TRUE	Univ. of California, Irvine	USA
UCLA	FALSE	Univ. of California, Los Angeles	USA
UCR	FALSE	Univ. of California, Riverside	USA
UD	FALSE	Udine	Italy
UGRA	TRUE	University of Granada	Spain
UGa	TRUE	University of Georgia	USA
UL	FALSE	University of Laval	Canada
ULA	TRUE	University of Laval	Canada
UM	FALSE	University of Miami	USA
UNAM	TRUE	National Autonomous Univ. of Mexico	Mexico
UOC	TRUE	University of Ottawa	Canada
UQ	FALSE	Univ. of Quebec at Montréal	Canada
URCRM	FALSE	Ukrainian Research Ctr. for Radiation Medicine	Ukraine
URU	TRUE	University of Uruguay	Uruguay
USGS	FALSE	USGS, Menlo Park	USA
UTCAG	TRUE	University of Tennessee	USA
UW	FALSE	University of Washington	USA
UZH	TRUE	University of Zurich	Switzerland
Ua	TRUE	Uppsala AMS	Sweden
UtC	FALSE	Utrecht van de Graaff	Netherlands
V	FALSE	Melbourne, Victoria	Australia
VERA	TRUE	Institut für Radiumforschung und Kernphysik	Austria
VRI	FALSE	Universität Wien	Austria
Vs	TRUE	Vilnius, Nat. Res. Ctr.	Lithuania
W	FALSE	USGS, National Center	USA
WAT	FALSE	University of Waterloo	Canada
WB	NA	Institute for Preservation Technology of Cultural Relics	China
WIS	FALSE	Univ. of Wisconsin	USA
WRD	FALSE	USGS Washington, D.C.	USA
WSU	FALSE	Washington State Univ.	USA
Wk	TRUE	University of Waikato	New Zealand
X	FALSE	Whitworth College	USA
XZ	NA	Xinjiang Institute of Disaster Prevention and Relief	China
XLLQ	TRUE	Xi’an Lab. of China Loess & Quat. Geol.	China
Y	FALSE	Yale University	USA
YU	TRUE	Yamagata University	Japan
Ya	FALSE	Yale University	USA
Z	TRUE	Zagreb  	Croatia
ZK	NA	Institute of Archaeology, Chinese Academy of Social Sciences	China

